,source,task,category,ability,answer
125,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
126,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,B
127,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,A
128,ToMBench,Knowledge-Pretend Play Links,Knowledge,Knowledge: Knowledge-pretend play links,B
129,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,A
130,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B
131,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B
132,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,B
133,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
134,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,C
135,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
136,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
137,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,C
138,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,B
139,ToMBench,Prediction of Actions,Intention,Intention: Prediction of actions,C
140,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
141,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
142,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,D
143,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
144,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
145,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
146,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
147,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,A
148,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
149,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
150,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
151,ToMBench,Knowledge-Pretend Play Links,Knowledge,Knowledge: Knowledge-pretend play links,B
152,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
153,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B
154,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C
155,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
156,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D
157,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on emotions (beliefs),C
158,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C
159,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
160,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
161,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,B
162,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,D
163,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
164,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
165,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
166,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,A
167,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
168,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C
169,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,B
170,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B
171,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
172,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B
173,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
174,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
175,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
176,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
177,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
178,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,C
179,ToMBench,Completion of Failed Actions,Intention,Intention: Completion of failed actions,D
180,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,A
181,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A
182,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
183,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D
184,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
185,ToMBench,Prediction of Actions,Intention,Intention: Prediction of actions,D
186,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,C
187,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,A
188,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B
189,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,C
190,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,C
191,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
192,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,D
193,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,D
194,ToMBench,Completion of Failed Actions,Intention,Intention: Completion of failed actions,A
195,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B
196,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
197,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
198,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,A
199,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
200,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,A
201,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D
202,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
203,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
204,ToMBench,Multiple Desires,Desire,Desire: Multiple desires,A
205,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,D
206,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D
207,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
208,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,D
209,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,B
210,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D
211,ToMBench,Multiple Desires,Desire,Desire: Multiple desires,A
212,ToMBench,Knowledge-Pretend Play Links,Knowledge,Knowledge: Knowledge-pretend play links,D
213,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B
214,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A
215,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,A
216,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,B
217,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,C
218,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A
219,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,C
220,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,D
221,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
222,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
223,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,C
224,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
225,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
226,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
227,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
228,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A
229,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,C
230,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
231,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
232,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
233,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,D
234,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
235,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
236,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B
237,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,D
238,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A
239,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
240,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,A
241,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
242,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,B
243,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
244,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B
245,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,D
246,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
247,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
248,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
249,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,C
250,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
251,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,D
252,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
253,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
254,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
255,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,C
256,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,D
257,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,D
258,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A
259,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,D
260,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
261,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,D
262,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D
263,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
264,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,C
265,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,A
266,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B
267,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
268,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
269,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
270,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
271,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
272,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
273,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
274,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,A
275,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
276,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
277,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,B
278,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
279,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,B
280,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
281,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
282,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,A
283,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,C
284,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,B
285,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,B
286,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B
287,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
288,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,A
289,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
290,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
291,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
292,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
293,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
294,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,D
295,ToMBench,Knowledge-Pretend Play Links,Knowledge,Knowledge: Knowledge-pretend play links,D
296,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
297,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
298,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
299,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
300,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,C
301,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,D
302,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
303,ToMBench,Emotion Regulation,Emotion,Emotion: Emotion regulation,C
304,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
305,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,B
306,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
307,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,B
308,ToMBench,Prediction of Actions,Intention,Intention: Prediction of actions,C
309,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,C
310,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,A
311,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
312,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,A
313,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,A
314,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
315,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
316,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D
317,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,C
318,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,A
319,ToMBench,Completion of Failed Actions,Intention,Intention: Completion of failed actions,C
320,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
321,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D
322,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,D
323,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,A
324,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
325,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,B
326,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B
327,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
328,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,A
329,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
330,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
331,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A
332,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,B
333,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
334,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,A
335,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,B
336,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
337,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
338,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,B
339,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
340,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B
341,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
342,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
343,ToMBench,Completion of Failed Actions,Intention,Intention: Completion of failed actions,D
