item_id,source,task,category,ability,answer,split
6af97a6690d177d4,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,C,train
ed94fd9f60c0a2ea,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
56c1dc6e4b0a045c,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
913ad63e4e55f0e8,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
0ecbc3d13a87fb92,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D,train
42af8abf5d8fab6f,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B,train
66d781276fae7ec7,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,B,train
238879c1dc87ff06,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,B,train
9897aba1d4c07c40,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D,train
082cb5381e01bd6d,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C,train
cb26586766f2d584,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B,train
6e2a6e556e55edca,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D,train
4ea7f492fe00e4f1,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,B,train
bb7689bba2897be9,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A,train
9613d4be82805b41,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B,train
f3cdc735806f42b5,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A,train
02d7d3a18bd44574,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C,train
5f7393bdf74309ea,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C,train
6da6d5785b8d8b43,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D,train
db5492d1aec7510f,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,D,train
89ac3cdb9d4921df,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
83cdca5288d5ffae,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D,train
79776d2674f6176f,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B,train
b834cad5a8c91085,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,D,train
ff964339e7140d31,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C,train
318fca6eabd42162,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D,train
988822d686a23401,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B,train
2c170ba812fbf575,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C,train
eb215c8d8d26a522,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B,train
c998bb653b07f6ed,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D,train
d3c792f164e8f464,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
53752565123245bc,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C,train
cb80160e0eb64bb4,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,C,train
7f5bcae42c0bcb79,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D,train
cc14eaae26c1558f,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D,train
d6fa89a17e6f161b,ToMBench,Prediction of Actions,Intention,Intention: Prediction of actions,D,train
39954593a02a5a1c,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D,train
f0e1e86014dad62a,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
4050d52b1c7b50ee,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,B,train
3370c6bc1719c6c4,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,A,train
8ad6419f30861d46,ToMBench,Knowledge-Pretend Play Links,Knowledge,Knowledge: Knowledge-pretend play links,B,train
fd6cb8a89da9ec77,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,A,train
83d621564c023986,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B,train
db1215703e45522b,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B,train
2157f8fd871fb607,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,B,train
757f77554f3865c8,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D,train
0715157ca5d47208,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,C,train
be719d6f1a9252a8,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
917a2a0d4d26f958,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B,train
8d4fa6717aa3d931,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,C,train
98e148e5c9d22446,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,B,train
66ef8356624110e2,ToMBench,Prediction of Actions,Intention,Intention: Prediction of actions,C,train
b62f2c72aec12a05,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
756e34d6ae1c26cc,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B,train
3c8fc5932d74f5df,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,D,train
068657be879cb4d4,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B,train
618980a34f114e61,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C,train
ee2ba79b451efcb5,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B,train
9b93b5b520a0e3b5,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B,train
a17972f5734a4ce2,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,A,train
4bf0481d6aff6d75,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
2e13bbc4cf65f91d,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C,train
ffdf724173727cfc,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C,train
f80a358451638efd,ToMBench,Knowledge-Pretend Play Links,Knowledge,Knowledge: Knowledge-pretend play links,B,train
9fd4fd8cc0910eb2,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B,train
7a1cea57d20a8768,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B,train
3ccec66b57498f84,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C,train
54c64ebc33b7ee8b,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B,train
e4e0759210598f67,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D,train
9ec60b0f4a4d1e2b,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on emotions (beliefs),C,train
6fe39131c97690c1,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C,train
e56e9e793c185c46,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
b5159f83c15bc566,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B,train
fbf35857d7a8d946,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,B,train
3859c6a546d25c73,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,D,train
bd5d2c7b42a189dd,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
0cfc10e5977c0f20,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C,train
201caecb94c198b5,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
adc7b85c32339ea7,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,A,train
6b313661ae7b20b8,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D,train
7b67c378f6d811fe,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C,train
bbb6941cd4eb8d51,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,B,train
e018787811332fd9,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B,train
04b0544e0b690f7e,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B,train
662233bf9697fea9,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B,train
ba8c3e3094afc2c4,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
f852d79add337b78,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D,train
426f171a2eae1dac,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B,train
f69f3521a163b8a4,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B,train
90b6fa35f903989e,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D,train
f2c36b90358e1daf,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,C,train
d40f0b271ba2b065,ToMBench,Completion of Failed Actions,Intention,Intention: Completion of failed actions,D,train
002fb0dad2fc119a,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,A,train
baeb52526c2d17d3,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A,train
fb577a78998faa62,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C,train
1b4d8fddea886d88,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D,train
a723cae0e6167fe1,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C,train
574d7b3d73d1f674,ToMBench,Prediction of Actions,Intention,Intention: Prediction of actions,A,train
b88c54493364189e,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,C,train
ad56732d4b3b456b,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,A,train
cdfce6370642321d,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B,train
2d7a448e706e2947,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,C,train
61707e5c85470135,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,C,train
ed76bc1c8a8e2150,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A,train
eb01abe361698002,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,D,train
768b3928446e81e9,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,D,train
6044cfd9fe49512f,ToMBench,Completion of Failed Actions,Intention,Intention: Completion of failed actions,B,train
3b936fb6eed7dde2,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B,train
f4a5ad9d70c13b4b,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C,train
6296ddfe5dd473ac,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
59cb4e6911e45437,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,A,train
9170c338c60ac8cd,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
2531ff98e6fb4179,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,A,train
2c26ee7f6acff352,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D,train
5beaa9f65bd722fe,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B,train
b97b7b14293aca49,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B,train
d4d2a9a1682ddb6c,ToMBench,Multiple Desires,Desire,Desire: Multiple desires,A,train
0ba3a46ced34fe6d,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,D,train
a3f2ac061a08a814,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D,train
9188a4b6c62531b9,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B,train
6fff71a805f6ca62,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,D,train
2f273d40967e16d8,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,B,train
0a83933a71adf8fb,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,D,train
0e73a8fe79007779,ToMBench,Multiple Desires,Desire,Desire: Multiple desires,D,train
c2640ea7fe360fe0,ToMBench,Knowledge-Pretend Play Links,Knowledge,Knowledge: Knowledge-pretend play links,D,train
a5e4e4bde3fe68af,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B,train
cc1f45ae4bc34a6c,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A,train
d1b66791db16a19d,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,A,train
2b0295d87b362514,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,B,train
67a850d2a019883a,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,C,train
754ad6404f219134,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A,train
f0d87b730dc3905c,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,C,train
c686098dfc09f67f,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,D,train
f871496881c3b507,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B,train
6c42df87f3e05cbf,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C,train
ebf9b64c25b04770,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,C,train
ccbff4e13c9481cb,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C,train
7cbd43380dc69b1d,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
06afc7891dfd9407,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B,train
b73d757a283bb693,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
89f7caf34fa28d35,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A,train
1f573e4631dbb4a3,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,C,train
d5c61b5829d5b636,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
def2a5508e7de405,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B,train
9a9543f3ceaf2ff1,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A,train
c935e836a675b45e,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,D,train
443061e684215791,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
4761f9f2568fdeb5,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
6c69dd756fc1a393,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B,train
1d8241486dd92203,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,D,train
e24389323b6923b1,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A,train
813e7c7d8c6753f5,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B,train
8d94438f2cfe4786,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,A,train
f9171595f5b909c7,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B,train
c4607ae23f0c03fa,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,B,train
66b7e1a6c4fc6e65,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
d645ac83dab293c8,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B,train
3237c08960d88663,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,D,train
21b38b79cfb96c6e,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C,train
61cce607e235c527,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
5a368cf9ef665e37,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B,train
fef378fccd38216f,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,C,train
9da66e099994346a,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D,train
796217336c2d7265,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,D,train
246f339e3dcd551b,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
ace9b972c5c83b1e,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D,train
2d18dceebc180110,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B,train
3c328a505d9277e8,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,C,train
a97664a932a4b4dc,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,D,train
d42d8a2c90c96a76,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,D,train
7b120300416ed844,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A,train
53a05cbb2975c238,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,D,train
290d9d3a84c50003,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A,train
b285beecdf51d8da,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,D,train
0d46ea24dce0e808,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D,train
a603f18e2872e0f1,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A,train
f9b94f031fb6053e,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,C,train
71de20e9d7b5403f,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,A,train
